,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id,used_params
0,eVTOL Companies Are Worth Billions—Who are the Key Players?,Glenn Zorpette,2022-02-22 21:16:10,full,https://spectrum.ieee.org/evtol-air-taxi-industry,ieee.org,"Today, some 250 companies work towards what they hope will be a revolution in urban transportation. Some are flying a small fleet of prototype aircraft; others have nothing more than a design concept.…","'Hardware is hard,' venture capitalist Marc Andreessen famously declared at a tech investors' event in 2013. Explaining the longstanding preference for software startups among VCs, Andreessen said, 'There are so many more things that can go wrong in a hardware company. There are so many more ways a hardware company can blow up in a nonrecoverable way.'Even as Andreessen was speaking, however, the seeds were being sown for one of the biggest and most sustained infusions of cash into a hardware-based movement in the last decade.",ieee.org,370,news,US,en,"['Glenn Zorpette', 'Evan Ackerman', 'Ieee Spectrum']",https://spectrum.ieee.org/media-library/a-collage-of-the-ten-evtol-crafts-that-are-considered-to-be-the-key-players.jpg?id=29340512&width=1200&coordinates=0%2C310%2C0%2C310&height=600,False,@,26.668297,681d54fbb3c17f3016768690e174303c,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
1,eVTOL Aircraft Market to expand at an impressive CAGR of more than 21% over the forecast period of 2021-2031,Persistence Market Research,2022-02-21 00:00:00,date,https://www.globenewswire.com/news-release/2022/02/21/2388764/0/en/eVTOL-Aircraft-Market-to-expand-at-an-impressive-CAGR-of-more-than-21-over-the-forecast-period-of-2021-2031.html,globenewswire.com,"NEW YORK, Feb. 21, 2022 (GLOBE NEWSWIRE) -- Persistence Market Research analysis projects the global eVTOL aircraft market to expand at an impressive...","NEW YORK, Feb. 21, 2022 (GLOBE NEWSWIRE) -- Persistence Market Research analysis projects the global eVTOL aircraft market to expand at an impressive CAGR of more than 21% over the forecast period of 2021-2031. Electric Vertical Takeoff and Landing (eVTOL) aircraft are capable of vertical takeoff and landing, which is possible through electrification of the lift and thrust provided by automated controls. They are technology enablers for Advanced Aerial Mobility, Urban Aerial Mobility, and Passenger Air Vehicles.",globenewswire.com,610,news,US,en,['Persistence Market Research'],https://ml.globenewswire.com/Resource/Download/fe66bf8c-4c9b-4c7e-bb36-deb16bcec0a4?size=1,False,globenewswire,24.437992,0ec1b785f34a2311e3694b8fa7e12c16,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
2,How are the world's biggest cities rethinking public transport?,Kayleigh Bateman,2022-02-24 11:43:37,full,https://www.weforum.org/agenda/2022/02/cities-mobility-urban-public-transport-challenges,weforum.org,"How are cities changing transport systems to handle rising emissions and growing urban populations? We look at Paris, Oslo, Tokyo, London and Buenos Aires.","Cities are seeking out innovative transport methods to reduce emissions and adapt to rising populations. About 60% of the world's people are expected to live in towns or cities by 2030. Paris has cleared plans for an aerial tramway in its southeastern suburbs. Other capital cities are rolling out innovative transport plans to try and persuade people to leave their vehicles at home. 

 As cities search for ways to make their environments cleaner and healthier, alternative methods of transport have become a hot topic.",weforum.org,368,news,CH,en,['Kayleigh Bateman'],https://assets.weforum.org/editor/7fNtqd_haTSll96-Ipu_klxZ-Jy1hkGT8sNowAR9a5o.PNG,False,,21.357037,146e208b6e756fdb78f95594805e638e,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
3,Envoy Technologies launches first electric car share in Hawaii,Finanzen.Net Gmbh,2022-02-24 15:41:00,full,https://markets.businessinsider.com/news/stocks/envoy-technologies-launches-first-electric-car-share-in-hawaii-1031227606,businessinsider.com,"HONOLULU, Feb. 24, 2022 /PRNewswire/ -- Envoy Technologies announced the launch of its first electric car share in Hawaii in partnership with Kowa...","HONOLULU, Feb. 24, 2022 /PRNewswire/ -- Envoy Technologies announced the launch of its first electric car share in Hawaii in partnership with Kowa American powered by the Envoy Mobility app. The Nissan Leaf will be available to residents at Halekauwila Place Apartments located in Kaka'ako, a vibrant urban island community in Honolulu. Envoy's Mobility as an Amenity™ service and technology platform provides residents with freedom of movement without the expense of traditional car ownership or hassle of renting a car.",businessinsider.com,110,finance,US,en,['Finanzen.Net Gmbh'],https://mma.prnewswire.com/media/1753292/Envoy_Technologies_Logo.jpg,False,,20.73506,7ae640c424ba0073fda5ab9a82fa2e85,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
4,Lexus And Royal College Of Art Imagine Luxury urban Transport Design For 2040,Nargess Banks,2022-02-22 16:52:48,full,https://www.forbes.com/sites/nargessbanks/2022/02/22/lexus-and-royal-college-of-art-imagine-luxury-urban-transport-design-for-2040,forbes.com,"Seasonal color-shifting vehicle, in-car Instagram experiences, jewel-like docking Vtols and tessellation interlocking pods are some of the inspired ideas from RCA transport design students as part of…","'UrbanSwarm' by Maxime Gauthier bring the luxury experience to the everyday urban mobility by ... [+] ensuring the fluidity of transport Maxime Gauthier Has luxury car design as we know it run out of course? And if so, how do we excite upcoming generations of creatives to help express a new age of luxury? This is loosely the premise of 'Lexus 2040: The Soul of Future Premium', a design competition initiated by Lexus Europe and the Royal College of Art in London. Lexus has set the 20 participating RCA Intelligent Mobility postgraduate students the task to explore new vehicle architectures that specifically meets lifestyle changes in European cities.",forbes.com,51,news,US,en,"['Nargess Banks', 'Senior Contributor']","https://imageio.forbes.com/specials-images/imageserve/6214f3d94cee283d3cc0952c/0x0.jpg?format=jpg&crop=1000,562,x0,y0,safe&fit=crop",False,@forbes,20.501806,3dfeb777b27b1a8f83c34dde020732fa,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
5,Are cars an urban design flaw? Cities advance car-free zones,John Letzing,2022-02-18 08:22:50,full,https://www.weforum.org/agenda/2022/02/are-cars-an-urban-design-flaw,weforum.org,A legacy of planning hinged on cars left many urban areas disjointed and at a sustainable-design disadvantage. But it's possible to undo some of that damage.,"An initiative in Berlin would establish a massive car-free zone. 

 Many other cities, including those at a design disadvantage, are also trying to diminish car travel. 

 Curtailing cars cuts emissions and can increase the quality of life. 

 An effort now underway to establish a car-free zone bigger than Manhattan in central Berlin, a relatively dense location where 15% of the surface area is used for road traffic, just might succeed. 

 But what about a place like Los Angeles County, a sprawling megalopolis where a nearly equal percentage of surface area is used just for parking – on top of the hundreds of square kilometers occupied by essential roads and clogged freeways?

 A legacy of planning hinged on cars has left many urban areas both disjointed and disadvantaged in terms of designing for a more sustainable future.",weforum.org,368,business,CH,en,['John Letzing'],https://assets.weforum.org/editor/Id29gXzhx-ELW6wUstx3uny8b9fWfVvXxvTr8SymMIY.png,False,,19.709543,b7dce6e1910533862d1bf9b19c3689c1,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
6,Arkansas Stakes Claim to be Global Leader in Next Gen Transportation by 2030,,2022-02-23 12:00:00,full,https://www.businesswire.com/news/home/20220223005042/en/Arkansas-Stakes-Claim-to-be-Global-Leader-in-Next-Gen-Transportation-by-2030,businesswire.com,"When you finally get your flying car, driverless vehicle, and your drone delivery of groceries or supplies, chances are Arkansas will have been a part","February 23, 2022 07:00 AM Eastern Standard Time BENTONVILLE, Ark.--(BUSINESS WIRE)--When you finally get your flying car, driverless vehicle, and your drone delivery of groceries or supplies, chances are Arkansas will have been a part of the process at some point in the near future.



Arkansas entrepreneurs are making a bold claim to be a global giant in next generation transportation, including flying cars, driverless vehicles, and drones. This claim follows Arkansas Governor Asa Hutchinson's recent announcement to create the Arkansas Council on Future Mobility, an advisory board committed to attracting businesses, startups, innovators, and creators.","Copyright 2022, Business Wire.",297,tech,US,en,[],https://mms.businesswire.com/media/20220223005042/en/1368271/23/4MediaLogoAnchor.jpg,False,,19.478596,a1f34d8cd21815bf39993a7e8344df58,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
7,"Hyundai Mobis to invest up to USD 6.72 bn on auto chips, robotics",www.ETAuto.com,2022-02-23 05:30:00,timezone unknown,https://auto.economictimes.indiatimes.com/news/auto-components/hyundai-mobis-to-invest-up-to-usd-6-72-bn-on-auto-chips-robotics/89762023,indiatimes.com,"The company unveiled the plan in a recent regulatory filing outlining its updated policy to promote shareholder value, which included a plan to mainta..","Hyundai Mobis will also spend around 330 billion won to buy back its own shares, of which 62.5 billion won of shares will be cancelled.Hyundai Mobis, the auto parts making unit of Hyundai Motor Group, plans to spend up to $6.72 billion in the next three years to bolster auto chips, mobility and other areas as its future growth drivers.The company unveiled the plan in a recent regulatory filing outlining its updated policy to promote shareholder value, which included a plan to maintain the dividend payout ratio of 20-30% for the fiscal 2022.",indiatimes.com,325,news,IN,en,['www.ETAuto.com'],"https://etimg.etb2bimg.com/thumb/msid-89762023,imgsize-151626,width-1200,height-628,overlay-etauto/hyundai-mobis-to-invest-up-to-usd-6-72-bn-on-auto-chips-robotics.jpg",False,http://twitter.com/ETAuto,17.983913,32862a270f34ad6b1504e768fcc3188b,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
8,Aiming for a 100-Bagger? This Stock Has the Potential,newsfeedback@fool.com (Taylor Carmichael),2022-02-20 12:45:00,full,https://www.fool.com/investing/2022/02/20/aiming-for-a-100-bagger-this-stock-has-the-potenti,fool.com,Here's why I think Joby Aviation might be a massive winner over the next decade or two.,"The market says Joby Aviation ( JOBY -5.74% ) is worth about $2.9 billion right now. To make a 100-bagger with this one, its market capitalization would have to reach $290 billion one day. Can this air-taxi pioneer pull it off? I'm very bullish on the company's future. But Joby is a high-risk stock. So my investment here is tiny (way under 1% of my family investment portfolio).
I'm bullish on this stock because I'm negative about self-driving cars. I don't think the collective intelligence at Alphabet or Tesla can sufficiently plan for all the variables of driving a car in the street.",Copyright 1995-2022 The Motley Fool. All rights reserved.,781,finance,US,en,['Taylor Carmichael'],https://g.foolcdn.com/editorial/images/666395/joby-pdf.jpeg,False,@themotleyfool,17.392466,5aa129390d5b8b8e445d70dd8798b24e,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
9,Doroni Aerospace Raises $500K in Crowdfunding,Doroni Aerospace,2022-02-22 00:00:00,date,https://www.globenewswire.com/news-release/2022/02/22/2389752/0/en/Doroni-Aerospace-Raises-500K-in-Crowdfunding.html,globenewswire.com,"A Media Snippet accompanying this announcement is available by clicking on the image or link below: MIAMI, Feb. 22, 2022 (GLOBE NEWSWIRE) --...","A Media Snippet accompanying this announcement is available by clicking on the image or link below: MIAMI, Feb. 22, 2022 (GLOBE NEWSWIRE) -- Doroni Aerospace, Inc. recently reached $500,000 in investments as part of its crowdfunding raise on the equity investment platform, StartEngine. This marks the official halfway point for the $1M maximum offering for this raise. Launched by Howard Mark's, co-founder of video game giant Activision, and backed by renowned investment guru Kevin O'Leary, AKA 'Mr.",globenewswire.com,610,news,US,en,['Doroni Aerospace'],https://ml.globenewswire.com/Resource/Download/339bdd42-57da-4758-a804-e543ad87051b?size=1,False,globenewswire,16.91194,20beb1b01f7f5fe917c094753ae28beb,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
